Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
MOROCCO;356;353;363;496;578;506;589;669;845;912;999;1113;1418;1910;1713;1879;2260;2095;2002;2273;2155;2312;2829;2987;3102;1509;1685.6
MOZAMBIQUE;NULL;68;82;97;140;122;132;115;141;140;187;196;209;241;247;247;264;247;313;331;322;290;237;135;99;95;139
MYANMAR;18;28;38;31;26;30;32;34;36;32;34;40;39;49.7;52;53;132;265;131;119;146;201;136;118;214;NULL;NULL
NAMIBIA;90;89;99;88;76;73;67;63;101;123;108;118;132;114;40;42;55;53;47;67;71;82;92;69;118;77;67.6
NAURU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.5;2.5;2.9;2.9;1.9;4.3;10.7;6.4;10;9;7.1;NULL;NULL;NULL
NEPAL;167;155;141;107;116;109;128;108;119;205;221;261;402;545;572;528;420;562;598;680;669;634;886;915;713;267;426
NETHERLANDS;13151;13709;12555;13474;13468;13649;13061;14201;15887;16937;13724;14588;17277;19805;18628;19044;20741;20094;21009;23655;20234;20188.8;21584.8;22699.2;22219.4;7801.2;10348.9
NEW CALEDONIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;104;128;167;122;129;149;354;330;343;356;336;333;328;253;252;NULL;NULL;NULL;NULL;NULL
NEW ZEALAND;1259;1466;1461;1383;1430;1235;1255;1386;1649;2229;2671;2535;3077;3006;2580;3039;3461;3715;3861;4108;3721;4010;4463;4603;4293;1435;1038
NICARAGUA;56;79;86;94;114;126;128;125;139;154;162;224;238;265;256;225;240;241;277;286;273;310;365;349;312;102;139
NIGER;26;59;50;39;35;32;33;29;39;42;42;42;48;98;84;95;57;132;81;129;140;111;120;141;144.5;98;NULL
NIGERIA;938;1318;1840;1589;640;610;858;910;2076;NULL;501;3536;6665;11007;6236;8348;9533;9240;9152;9204;9017;4524;8194;13218;16406;6613;5846
NIUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NORTH MACEDONIA;27;30;33;39;42;58;60;60;71;85;97;110;147;190;150;131;159;153;168;186;189;204;233;282;302;153;233
NORTHERN MARIANA ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NORWAY;4481;4759;4756;5069;5185;4893;4718;5610;7089;8894;10400;11273;13256;15118;13221;14658;16958;18131;20116;20166;16485;16384;17489;18307;17247;3940;3942
OMAN;47;349;347;542;583;629;703;702;804;823;863;894;952;1197;1295;1243;1493;1644;1824;2081;2208;2643;2915;3210;3406;996;1083
PAKISTAN;654;1018;591;565;447;574;555;491;1163;1612;1753;2029;2075;2163;1098;1370;1857;1851;1638;2209;2642;2931;3316;2959;2998;1213;1391
PALAU;NULL;NULL;NULL;2;2;11.5;14.100000000000001;18.2;16.4;18.2;18;17.4;17.1;19.1;16.1;15.2;17.0;19.4;18.5;17.2;21.9;30.310000000000002;30.4;29.5;27.8;19.5;12.1
PANAMA;181;210;243;245;259;241;227;252;267;294;388;403;457;560;503;575;679;591;1078;1147;1272;1351;1132;1395;1633;602;835
PAPUA NEW GUINEA;58;72;78;52;53;50;38;60;52.0;71.9;56.2;43;81;75;132;138;186;203;214;168;135;126.6;168.6;134;NULL;NULL;NULL
PARAGUAY;173;185;211;223;181;154;130;117;115;121;130;144;184;214;231;261;308;363;425;448;494;512;545;549;552;154;170
PERU;428;492;608;642;652;641;773;806;847;852;970;1047;1243;1432;1404;1648;1768;1900;2105;2118;2539;2700;2893;3353;3627.3999999999996;938;1521
PHILIPPINES;551;1287;1969;2022;1737;1841;1918;1874;1649;1526;3286;3075;3351;4285;4056;5964;6055;7140;8400;11130;11868;11681;12442;12474;12926;4336;3452
POLAND;5865;6357;5855;4524;3810;3417;3595;3440;3286;5086;5887;7645;8339;10683;7883;8888;8672;8911;8916;9177;8285;8509;9540;10492;10219;5653;6089
