Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
LUXEMBOURG;33;30;36;40;42;42;36;33;29;30;32;35;33;32;29;29;37.7;39;39.2;45.1;51.8;48.5;47.7;45.7;47.2;14.4;33
MACAO, CHINA;135;149;121;111;106;118;119;115;87;144;183;219;306;313;279;297;310.6;306.5;289;285.7;286.3;299.8;296.1;314.9;315.4;23.1;0.4
MADAGASCAR;5;6;2;2;7;6;7;2;4;9;14;16;14;11;5;6;10;10;6;8.7;5.7;14;4.3;10.8;11.2;4.9;0.251
MALAWI;6;10;10;11;13;11;12;15;18;21;19;36;47;45;46;46;45;28.4;49.9;47.5;48.3;56.9;45.6;47.4;15.7;3.6;9.9
MALAYSIA;136;146;137;122;122;308;322;283;270;272;275;312;472;345;346;343;340;362;377;399.6;360.1;322.3;308.6;389.8;406.7;76.7;2.9
MALDIVES;4;4;6;6;6;7;7;7;8;9;7;11;14;14;15;19;24;27;33;41;46.6;50.5;62;68.8;84.8;32.1;88.9
MALI;5;6;7;8;9;9;8;9;9;12;13;19;18;20;27;23;21;6.4;6.3;7.9;8.5;6.6;9.1;10.7;10.3;2;7.7
MALTA;17;18;21;25;26;27;28;27;21;19;18;17;20;18;14;16.4;16.4;18;19.5;22.4;25.9;26.5;35.8;47.2;50.5;8.6;13.3
MARSHALL ISLANDS;1.8;2.1;2.5;2.4;2.1;2;2;2.2;2.2;2.1;1.7;1.5;1.7;1.5;1.3;1.3;1.3;1.1;NULL;1.1;1.8;1.6;1.6;NULL;NULL;NULL;NULL
MARTINIQUE;74;66;78;77;85;80;55;70;72;73;81;79;93;86;63;85;86;78;68;75;NULL;NULL;115.1;111.1;114.5;60.8;4.7
MAURITANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITIUS;4;4;6;6;6;8;8;7;8;8;9;10;10;14;13;14;14;16.1;15.2;16.3;17.9;19.8;24.8;25.9;25.4;6.4;2.6
MEXICO;19862;21010;18941;18550;18183;19950;19172;19133;18155;19706;19012;18750;18699;19818;20178;20868;21152;21135.8;21755.6;26768.3;29437.4;31490.2;35340.2;38247.9;41938.6;23387.5;30466.3
MICRONESIA, FEDERATED STATES OF;NULL;7.1;7.3;5.8;7.4;9;7.1;8.4;7.7;7.7;8;8.3;8.5;9.3;8.6;9.2;8;7.6;8.4;8.2;7.2;7.1;NULL;NULL;NULL;NULL;NULL
MOLDOVA, REPUBLIC OF;0.7;0.8;1;0.9;0.9;1.107;1.1;1.8;2.6;7.5;6.6;5;4.1;3.6;3.7;3.7;5.2;7.2;6.3;6.9;4.5;9.3;11.4;11.1;11.9;1.5;6
MONACO;33;31;46;43;42;44;37;32;24;25;29;34;41;35;27;31;33;38;46;46;39.6;38;37.7;41.2;45.7;4.3;13.1
MONGOLIA;NULL;NULL;NULL;4.3;6.2;7.1;7.6;8;6.9;12.2;12.9;14.8;15.4;15.8;14.2;16.5;19.9;20;18.9;17.6;18.6;20.5;22.2;23.6;24.9;1.4;1.7
MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;3;3;4;7;9;9;8;11;13;13;13;20;26.3;30.2;37.5;44.7;54.4;5.3;28.2
MONTSERRAT;14.2;6.8;3.8;5.6;6.8;7.2;7.2;7;5.9;6.8;6.4;5.4;5.3;5;4.2;4.4;3.8;4.9;4.9;6.3;6.2;5.9;6.4;6.9;7.2;2.8;0.961
MOROCCO;117;120;130;142;179;179;149;119;108;128;140;173;196;202;215;251;239.6;257.9;294.6;303.5;333;379.4;480.4;563.2;603.8;99;94.7
MOZAMBIQUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10;5;6;12;14;19;39;46;102;107;135;121;107.5;76;68;60.5;114.6;124.7;64.2;32.1
MYANMAR;9;14;15;13;13;15;17;18;16;20;21;23;19;16;19;21;28;48;67.3;81.9;93;102.5;99.7;86.9;88;20.5;0.8
NAMIBIA;NULL;8;9;12;NULL;NULL;9;10;12;NULL;12;16;19;29;27;26;25;26.6;29.1;31.2;34.3;37.4;43;39.3;38.2;6.1;6
NAURU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NEPAL;32;33;39;47;51;53;43;25;25;30;26;28;41;42;42;50;62.5;67.2;59.5;61.4;54.2;72.9;105.2;109.1;110.3;20.9;25.3
NETHERLANDS;721;664;900;1144;1162;1216;1203;1100;996;1131;1222;1325;1274;1068;1018;1223;1320;1323;1337;1431;1508;1646;2013;2072;2181;384;350
NEW CALEDONIA;1;1;1;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;3;2.9;2.1;2;2;2.5;0.7;0.1
NEW ZEALAND;191;187;185;206;229;245;240;261;267;276;276;295;290;295.9;275.8;268.4;268.5;253.1;279;299.8;330.3;398.5;456.3;486.3;493.8;170.6;6.6
NICARAGUA;247;267;322;365;424;437;432;417;464;553;619;623;672;714;770;847;894;1000;1031.7;1024;1091.6;1135.3;1155.3;711.9;750.3;243.3;201.6
NIGER;2;8;8;5;1;3;2;2;2;2;4;4;4;5;4;5;5;7.2;11.1;12.1;12.1;13.7;14.8;14.1;17.3;7.6;NULL
