Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;NULL;1225;877;816;926;925;590;531;591;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LITHUANIA;NULL;661;816;1244;1228;876;1082;1229;1251;1536;1585;1610;928;993;881;948;1144;1212;1277;1297;1256;1354;1439.6000000000001;1542.1;1521.9;533.6999999999999;492.50000000000006
LUXEMBOURG;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MACAO, CHINA;1730.6;1701;1625;1749;2335;3137;4149;4925;6059;9506;10951;13106;16549;12095;11449;13087;15299;14829.7;15817.5;17390;17211;17759.6;18630;22152.467;29291.2;5033.6;7003.7
MADAGASCAR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALAWI;138;134;137;145;168;154;182;289;310;310;325;432;494;500;483;518;536;568.8;566.1999999999999;584;582.3000000000001;613.8;706.9;735.5;630;159.5;295.5
MALAYSIA;5085;4871;3752;3217;4761;5973;8815;9965;8010;12333;12125;12365;14180;14047;NULL;NULL;NULL;NULL;17882;18811.7;17299.4;19197;18282.3;15687.400000000001;15197.6;2372;63.8
MALDIVES;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MALI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;44;40;30;33;21;16;0.1;NULL;NULL;NULL;NULL;NULL;NULL
MALTA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MARSHALL ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MARTINIQUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITIUS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MEXICO;14615;15078;12373;12306;11742;12668;12148;12333;10969;11748;11979;11199;10989;11924;12671;12671;12559;12042;11929.3;15883;16845;18201;20743;21944.7;25389.5;15945.9;17258.3
